nome;localizacao;salario;empresa;link
Vaga de Representante de Vendas; Paranagua / PR ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-paranagua-pr/representante-de-vendas/3333262
Vaga de Operador de Injetora de Plástico; São Paulo / SP ; a combinar;Uniao Ind e Com;https://www.bne.com.br/vaga-de-emprego-na-area-plastico-em-sao-paulo-sp/operador-de-injetora-de-plastico/3333261
Vaga de Desenvolvedor IOS; São Paulo / SP ; a combinar;Qintess;https://www.bne.com.br/vaga-de-emprego-na-area-informatica-em-sao-paulo-sp/desenvolvedor-ios/3333260
Vaga de Representante Comercial; Cascavel / PR ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-cascavel-pr/representante-comercial/3333259
Vaga de Técnico de Edificações; Aparecida de Goiania / GO ; a combinar;Rem Construtora e Incorporadora Ltda;https://www.bne.com.br/vaga-de-emprego-na-area-construcao-em-aparecida-de-goiania-go/tecnico-de-edificacoes/3333258
Vaga de Consultor Imobiliário; Uberlandia / MG ; a combinar;Prime Imobi;https://www.bne.com.br/vaga-de-emprego-na-area-imobiliaria-em-uberlandia-mg/consultor-imobiliario/3333257
Vaga de Desenvolvedor; Sao Paulo / SP ; a combinar;Qintess;https://www.bne.com.br/vaga-de-emprego-na-area-informatica-em-sao-paulo-sp/desenvolvedor/3333256
Vaga de Representante Comercial; Goiania / GO ;R$ 1.250,00;Esteio Medicina do Trabalho Ltda;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-goiania-go/representante-comercial/3333255
Vaga de Assistente de Controladoria; Campina do Siqueira,   Curitiba / PR ; R$ 2.000,00 a R$ 2.100,00;SEDE ADMINISTRATIVA I ;https://www.bne.com.br/vaga-de-emprego-na-area-contabilidade-em-curitiba-pr/assistente-de-controladoria/3333249
Vaga de Assistente de Controladoria; Campina do Siqueira,   Curitiba / PR ; R$ 2.000,00 a R$ 2.100,00;SEDE ADMINISTRATIVA I ;https://www.bne.com.br/vaga-de-emprego-na-area-contabilidade-em-curitiba-pr/assistente-de-controladoria/3333249
Vaga de Polidor de Metais; Sao Jose dos Pinhais / PR ; a combinar;Aco Brasil;https://www.bne.com.br/vaga-de-emprego-na-area-metalurgia-em-sao-jose-dos-pinhais-pr/polidor-de-metais/3333253
Vaga de Nutricionista; Paranagua / PR ; R$ 2.200,00 a R$ 2.500,00;TROPICALI REFEICOES ;https://www.bne.com.br/vaga-de-emprego-na-area-saude-em-paranagua-pr/nutricionista/3325209
Vaga de Promotor de Vendas; Goiania / GO ; a combinar;Global Empregos;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-goiania-go/promotor-de-vendas/3333252
Vaga de Estagiário; Sao Paulo / SP ;R$ 1.212,00;Retifica Motor Vidro Ltda;https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-sao-paulo-sp/estagiario/3333251
Vaga de Técnico de Enfermagem; Salto do Jacui / RS ; a combinar;Sevite Home Care;https://www.bne.com.br/vaga-de-emprego-na-area-saude-em-salto-do-jacui-rs/tecnico-de-enfermagem/3333250
5 Vagas de Auxiliar de Açougue; Goiania / GO ; R$ 1.212,00 a R$ 1.312,00;SENDAS DISTRIBUIDORA S/A ;https://www.bne.com.br/vaga-de-emprego-na-area-alimentos-em-goiania-go/auxiliar-de-acougue/3333248
Vaga de Ajudante Geral; Sao Paulo / SP ; a combinar;Embalagens Diniz;https://www.bne.com.br/vaga-de-emprego-na-area-limpeza-em-sao-paulo-sp/ajudante-geral/3333247
5 Vagas de Açougueiro; Goiania / GO ; R$ 1.641,00 a R$ 1.750,00;SENDAS DISTRIBUIDORA S/A ;https://www.bne.com.br/vaga-de-emprego-na-area-alimentos-em-goiania-go/acougueiro/3333246
Vaga de Consultor Comercial; Joinville / SC ; a combinar;Faculdade Anhanguera Joinville;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-joinville-sc/consultor-comercial/3333245
6 Vagas de Auxiliar de Acougue; Anapolis / GO ; R$ 1.285,00 a R$ 1.400,00;SENDAS DISTRIBUIDORA S/A ;https://www.bne.com.br/vaga-de-emprego-na-area-alimentos-em-anapolis-go/auxiliar-de-acougue/3333244
Vaga de Analista de RH; Goiania / GO ; a combinar;Clinica;https://www.bne.com.br/vaga-de-emprego-na-area-recursos-humanos-em-goiania-go/analista-de-rh/3333243
6 Vagas de Açougueiro; Anapolis / GO ; R$ 1.670,00 a R$ 1.920,00;SENDAS DISTRIBUIDORA S/A ;https://www.bne.com.br/vaga-de-emprego-na-area-alimentos-em-anapolis-go/acougueiro/3333242
Vaga de Instalador; Picos / PI ; a combinar;Mrh Gestao de Pessoas e Servicos Ltda;https://www.bne.com.br/vaga-de-emprego-na-area-manutencao-em-picos-pi/instalador/3333241
Vaga de Doméstica; Nova Lima / MG ; a combinar;Clinica Odontologica Bel Rezende;https://www.bne.com.br/vaga-de-emprego-na-area-limpeza-em-nova-lima-mg/domestica/3333240
Vaga de Analista de Planejamento de Manutenção; Campo Largo / PR ; a combinar;Confidencial;https://www.bne.com.br/vaga-de-emprego-na-area-manutencao-em-campo-largo-pr/analista-de-planejamento-de-manutencao/3333239
Vaga de Doméstica; Curitiba / PR ; a combinar;Casa Particular;https://www.bne.com.br/vaga-de-emprego-na-area-limpeza-em-curitiba-pr/domestica/3333238
